Type;Identification;Field;Locale;Market;Status;Default content;Translated content 
PRODUCT;'15489746305373;handle;fi;;;10360-size-m; 
PRODUCT;'15489746305373;product_type;fi;;;Apparel; 
PRODUCT;'15489746567517;title;fi;;;"Valueweight T - L";"Valueweight T-Paita"
PRODUCT;'15489746567517;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489746567517;handle;fi;;;10360-size-l; 
PRODUCT;'15489746567517;product_type;fi;;;Apparel; 
PRODUCT;'15489746764125;title;fi;;;"Valueweight T - XL";"Valueweight T-Paita"
PRODUCT;'15489746764125;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489746764125;handle;fi;;;10360-size-xl; 
PRODUCT;'15489746764125;product_type;fi;;;Apparel; 
PRODUCT;'15489746960733;title;fi;;;"Valueweight T - XXL";"Valueweight T-Paita"
PRODUCT;'15489746960733;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489746960733;handle;fi;;;10360-size-xxl; 
PRODUCT;'15489746960733;product_type;fi;;;Apparel; 
PRODUCT;'15489747157341;title;fi;;;"Valueweight T - 3XL";"Valueweight T-Paita"
PRODUCT;'15489747157341;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489747157341;handle;fi;;;10360-size-3xl; 
PRODUCT;'15489747157341;product_type;fi;;;Apparel; 
PRODUCT;'15489747386717;title;fi;;;"Valueweight T - 4XL";"Valueweight T-Paita"
PRODUCT;'15489747386717;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489747386717;handle;fi;;;10360-size-4xl; 
PRODUCT;'15489747386717;product_type;fi;;;Apparel; 
PRODUCT;'15489747812701;title;fi;;;"Valueweight T - 5XL";"Valueweight T-Paita"
PRODUCT;'15489747812701;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489747812701;handle;fi;;;10360-size-5xl; 
PRODUCT;'15489747812701;product_type;fi;;;Apparel; 
PRODUCT;'15489800044893;title;fi;;;"Valueweight Long Sleeve T";"PitkäHihainen Valueweight T"
PRODUCT;'15489800044893;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>4XL</td><br><td>76</td><br><td>81,5</td><br></tr><br><tr><br><td>5XL</td><br><td>81</td><br><td>83</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489800044893;handle;fi;;;10380; 
PRODUCT;'15489800044893;product_type;fi;;;Long sleeve t-shirts; 
PRODUCT;'15489805222237;title;fi;;;"Super Premium T";"Super Premium T-Paita"
PRODUCT;'15489805222237;body_html;fi;;;"• Material: 100% cotton<br><br><div class=""size-table""><table><br><tr><br><td>Koko</td><br><td>Leveys cm*</td><br><td>Pituus cm**</td><br></tr><br><tr><br><td>S</td><br><td>48,5</td><br><td>69,5</td><br></tr><br><tr><br><td>M</td><br><td>53,5</td><br><td>72</td><br></tr><br><tr><br><td>L</td><br><td>56</td><br><td>74,5</td><br></tr><br><tr><br><td>XL</td><br><td>61</td><br><td>77</td><br></tr><br><tr><br><td>XXL</td><br><td>66</td><br><td>78,5</td><br></tr><br><tr><br><td>3XL</td><br><td>71</td><br><td>80</td><br></tr><br><tr><br><td>Tol+/-</td><br><td>2,5</td><br><td>2,5</td><br></tr><br></table><br><p>* Tuotteen reunasta reunaan 2 cm hihojen alapuolelta</p><br><p>** Olkapään korkeimmasta kohdasta tuotteen alareunaan</p></div>"
PRODUCT;'15489805222237;handle;fi;;;10440; 
PRODUCT;'15489805222237;product_type;fi;;;Apparel; 
PRODUCT;'15489806926173;title;fi;;;"Iconic 195 Ringspun Premium Long Sleeve T";"PitkäHihainen Iconic 195 Ringspun T"
PRODUCT;'15489806926173;body_html;fi;;;"""ICONIC 195 is a smooth and soft long-sleeved T-shirt.
PRODUCT;'15489806926173;handle;fi;;;13600; 
PRODUCT;'15489806926173;product_type;fi;;;Apparel; 
PRODUCT;'15489814102365;title;fi;;;"Lady-fit Valueweight T";"Naisten Valueweight T-Paita"
PRODUCT;'15489814102365;body_html;fi;;;"""• Material: 100% cotton
PRODUCT;'15489814102365;handle;fi;;;13720; 
PRODUCT;'15489814102365;product_type;fi;;;Apparel; 
PRODUCT;'15489821147485;title;fi;;;"Kids Set-in Sweat";"Lasten Premium College"
PRODUCT;'15489821147485;body_html;fi;;;"""• Material: 70% cotton, 30% polyester
PRODUCT;'15489821147485;handle;fi;;;20310; 
PRODUCT;'15489821147485;product_type;fi;;;Kids Sweats; 
PRODUCT;'15489822785885;title;fi;;;"Premium Zip-neck Sweat";"Premium Zip Neck College"
PRODUCT;'15489822785885;body_html;fi;;;"""• Material: 70% cotton, 30% polyester
PRODUCT;'15489822785885;handle;fi;;;20320; 
PRODUCT;'15489822785885;product_type;fi;;;Apparel; 
PRODUCT;'15489823375709;title;fi;;;"Premium Zip Through Hooded Sweat";"Premium Vetoketjuhuppari"
PRODUCT;'15489823375709;body_html;fi;;;"""• Material: 70% cotton, 30% polyester
PRODUCT;'15489823375709;handle;fi;;;20340; 
PRODUCT;'15489823375709;product_type;fi;;;Apparel; 
PRODUCT;'15489825407325;title;fi;;;"Classic Hooded Sweat Jacket";"Classic Vetoketjuhuppari"
PRODUCT;'15489825407325;body_html;fi;;;"""• Material: 80% cotton, 20% polyester
PRODUCT;'15489825407325;handle;fi;;;20620; 
PRODUCT;'15489825407325;product_type;fi;;;Apparel; 
PRODUCT;'15490009301341;title;fi;;;"Lady-fit Premium Sweat Jacket";"Naisten Premium College Full Zip"
PRODUCT;'15490009301341;body_html;fi;;;"""• Material: 70% cotton, 30% polyester
PRODUCT;'15490009301341;handle;fi;;;21160; 
PRODUCT;'15490009301341;product_type;fi;;;Apparel; 
PRODUCT;'15490012217693;title;fi;;;"Lady-fit Premium Hooded Sweat Jacket";"Naisten Premium Vetoketjuhuppari"
PRODUCT;'15490012217693;body_html;fi;;;"""• Material: 70% cotton, 30% polyester
PRODUCT;'15490012217693;handle;fi;;;21180; 
PRODUCT;'15490012217693;product_type;fi;;;Apparel; 
PRODUCT;'15490012807517;title;fi;;;"Classic Set-in Sweat";"Classic College"
PRODUCT;'15490012807517;body_html;fi;;;"""• Material: 80% cotton Belcoro® yarn, 20% polyester
PRODUCT;'15490012807517;handle;fi;;;22020; 
PRODUCT;'15490012807517;product_type;fi;;;Apparel; 
PRODUCT;'15490024210781;title;fi;;;"Classic Hooded Sweat";"Classic Huppari"
PRODUCT;'15490024210781;body_html;fi;;;"""• Material: 80% cotton Belcoro® yarn, 20% polyester
PRODUCT;'15490024210781;handle;fi;;;22080; 
PRODUCT;'15490024210781;product_type;fi;;;Apparel; 
PRODUCT;'15490038169949;title;fi;;;"Premium Sweat Jacket";"Premium College Full Zip"
PRODUCT;'15490038169949;body_html;fi;;;"""• Material: 70% cotton, 30% polyester
PRODUCT;'15490038169949;handle;fi;;;22280; 
PRODUCT;'15490038169949;product_type;fi;;;Outlet - discontinued items; 
PRODUCT;'15490039349597;title;fi;;;"Lady-fit Premium Polo";"Naisten Premium Pikee"
PRODUCT;'15490039349597;body_html;fi;;;"""• Material: 100% cotton
PRODUCT;'15490039349597;handle;fi;;;30300; 
PRODUCT;'15490039349597;product_type;fi;;;Apparel; 
PRODUCT;'15490042528093;title;fi;;;"Premium Polo";"Premium Pikee"
PRODUCT;'15490042528093;body_html;fi;;;"""• Material: 100% cotton (Ash 90% cotton, 10% polyester)
PRODUCT;'15490042528093;handle;fi;;;32180; 
PRODUCT;'15490042528093;product_type;fi;;;Apparel; 
PRODUCT;'15490043609437;title;fi;;;"65/35 Polo";"65/35 Pikee"
PRODUCT;'15490043609437;body_html;fi;;;"""• Material: Easy care 65% polyester, 35% cotton
PRODUCT;'15490043609437;handle;fi;;;34020; 
PRODUCT;'15490043609437;product_type;fi;;;Apparel; 
PRODUCT;'15490051113309;title;fi;;;"Classic Elasticated Cuff Jog Pants";"Classic Collegehousut"
PRODUCT;'15490051113309;body_html;fi;;;"""• Material: 80% cotton, 20% polyester
PRODUCT;'15490051113309;handle;fi;;;40260; 
PRODUCT;'15490051113309;product_type;fi;;;Jog pants; 
PRODUCT;'15490056913245;title;fi;;;"Premium Elasticated Cuff Jog Pants";"Premium Collegehousut"
PRODUCT;'15490056913245;body_html;fi;;;"""• Material: 70% cotton, 30% polyester
PRODUCT;'15490056913245;handle;fi;;;40400; 
PRODUCT;'15490056913245;product_type;fi;;;Trousers and jog pants; 
PRODUCT;'15490062582109;title;fi;;;"Orion Reflective Mittens";"Orion Heijastavat Lapaset"
PRODUCT;'15490062582109;body_html;fi;;;"""• Reflective part: 62% acrylic 38% polyester
PRODUCT;'15490062582109;handle;fi;;;910678; 
PRODUCT;'15490062582109;product_type;fi;;;Apparel; 
PRODUCT;'15490066645341;title;fi;;;Softshell Sports Tech Gloves; 
PRODUCT;'15490066645341;body_html;fi;;;"• 93% Polyester/ 7% Elastane
PRODUCT;'15490066645341;handle;fi;;;b310; 
PRODUCT;'15490066645341;product_type;fi;;;Apparel; 
PRODUCT;'15490070937949;title;fi;;;Touchscreen Smart Gloves; 
PRODUCT;'15490070937949;body_html;fi;;;"• 100% Soft Touch Acrylic + aluminium
PRODUCT;'15490070937949;handle;fi;;;b490; 
PRODUCT;'15490070937949;product_type;fi;;;Accessories; 
PRODUCT;'15490073690461;title;fi;;;Fedora; 
PRODUCT;'15490073690461;body_html;fi;;;"• 80% Polyester, 20% Cotton
PRODUCT;'15490073690461;handle;fi;;;b630; 
PRODUCT;'15490073690461;product_type;fi;;;Apparel; 
PRODUCT;'15490076901725;title;fi;;;Reversible Bucket Hat; 
PRODUCT;'15490076901725;body_html;fi;;;"• 100% Cotton Twill
PRODUCT;'15490076901725;handle;fi;;;b686; 
PRODUCT;'15490076901725;product_type;fi;;;Apparel; 
PRODUCT;'15490080211293;title;fi;;;Ladies Coolplus Polo Shirt; 
PRODUCT;'15490080211293;body_html;fi;;;"• Material: 100% Polyester
PRODUCT;'15490080211293;handle;fi;;;h476; 
PRODUCT;'15490080211293;product_type;fi;;;Apparel; 
PRODUCT;'15490083914077;title;fi;;;Magni Workpants; 
PRODUCT;'15490083914077;body_html;fi;;;"Magni series is for the new, modern tradesman not willing to compromise between style and function. We use our knowledge from creating outdoor and expedition apparel in sportswear and combining this with almost 140 years of workwear experience to push our boundaries. Magni workpant is the ultimate pant for hard work, with an aggressive design and a new 4-way stretch fabric. Cordura® fabric reinforced kneepad pockets, ruler pocket and bottom hem for extra durability. A padded, waterproof cell phone pocket and detachable hanging pocket makes this pant perfect for all type of work. Combine it with a Magni jacket or t-shirt for a modern, sporty look when you want to make a statement.
PRODUCT;'15490083914077;handle;fi;;;hh76563; 
PRODUCT;'15490083914077;product_type;fi;;;Apparel; 
PRODUCT;'15490088829277;title;fi;;;Chelsea Evolution Pants; 
PRODUCT;'15490088829277;body_html;fi;;;"Ready for the next level? Our Chelsea Evolution pant gives you the best of two worlds – a durable material that guaranties ease in movement. The 4- Way stretch fabric in polyamide combined with our legendary Chelsea cotton rich fabric delivers this promise. Modern fit, improved pocket solutions, extraordinary design lines combined with our iconic Chelsea features makes this to your new best workmate. Join the Evolution.
PRODUCT;'15490088829277;handle;fi;;;hh77441; 
PRODUCT;'15490088829277;product_type;fi;;;Apparel; 
PRODUCT;'15490093154653;title;fi;;;Chelsea Evolution Service Pants; 
PRODUCT;'15490093154653;body_html;fi;;;"The Chelsea Evolution Service Pant combines our 4-way stretch with our durable Chelsea cotton fabric that guarantees ease in movement on hot summer days.
PRODUCT;'15490093154653;handle;fi;;;hh77445; 
PRODUCT;'15490093154653;product_type;fi;;;Apparel; 
PRODUCT;'15490094596445;title;fi;;;Chelsea Evolution Service Camo Pants; 
PRODUCT;'15490094596445;body_html;fi;;;"• 4-Way Stretch
PRODUCT;'15490094596445;handle;fi;;;hh77445c; 
PRODUCT;'15490094596445;product_type;fi;;;Apparel; 
PRODUCT;'15490098069853;title;fi;;;Icu Hi Vis Class 1 Stretch Pants; 
PRODUCT;'15490098069853;body_html;fi;;;"• EN ISO 20471 cl 1 Hi vis 
PRODUCT;'15490098069853;handle;fi;;;hh77471; 
PRODUCT;'15490098069853;product_type;fi;;;Apparel; 
PRODUCT;'15490102034781;title;fi;;;Kensington Shorts; 
PRODUCT;'15490102034781;body_html;fi;;;"Flexible and comfortable shorts for many uses.
PRODUCT;'15490102034781;handle;fi;;;hh77580; 
PRODUCT;'15490102034781;product_type;fi;;;Apparel; 
PRODUCT;'15490107212125;title;fi;;;Icu Sweatshirt; 
PRODUCT;'15490107212125;body_html;fi;;;"• Hi-vis fabric: 80% cotton, 20% polyester, 320gsm
PRODUCT;'15490107212125;handle;fi;;;hh79272; 
PRODUCT;'15490107212125;product_type;fi;;;Apparel; 
PRODUCT;'15490110128477;title;fi;;;Heavy Duty T-shirt; 
PRODUCT;'15490110128477;body_html;fi;;;"This premium T-Shirt has been specifically designed for the manual workplace and combines extra reinforcements and exceptional durability with comfort
PRODUCT;'15490110128477;handle;fi;;;j010m; 
PRODUCT;'15490110128477;product_type;fi;;;Workwear; 
PRODUCT;'15490112487773;title;fi;;;Naisten Authentic Classic T; 
PRODUCT;'15490112487773;body_html;fi;;;"• 100 % rengaskehrättyä puuvillaa, tiheä neulos
PRODUCT;'15490112487773;handle;fi;;;j180f; 
PRODUCT;'15490112487773;product_type;fi;;;Apparel; 
PRODUCT;'15490113864029;title;fi;;;Classic T-shirt; 
PRODUCT;'15490113864029;body_html;fi;;;"The classic t-shirt that sets the standard for fabric and production quality, durability and wearer comfort.
PRODUCT;'15490113864029;handle;fi;;;j180m; 
PRODUCT;'15490113864029;product_type;fi;;;Apparel; 
PRODUCT;'15490114355549;title;fi;;;Classic Set-in Sleeve Sweatshirt - XS; 
PRODUCT;'15490114355549;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490114355549;handle;fi;;;j262m-size-xs; 
PRODUCT;'15490114355549;product_type;fi;;;Apparel; 
PRODUCT;'15490114552157;title;fi;;;Classic Set-in Sleeve Sweatshirt - S; 
PRODUCT;'15490114552157;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490114552157;handle;fi;;;j262m-size-s; 
PRODUCT;'15490114552157;product_type;fi;;;Apparel; 
PRODUCT;'15490114912605;title;fi;;;Classic Set-in Sleeve Sweatshirt - M; 
PRODUCT;'15490114912605;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490114912605;handle;fi;;;j262m-size-m; 
PRODUCT;'15490114912605;product_type;fi;;;Apparel; 
PRODUCT;'15490115404125;title;fi;;;Classic Set-in Sleeve Sweatshirt - L; 
PRODUCT;'15490115404125;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490115404125;handle;fi;;;j262m-size-l; 
PRODUCT;'15490115404125;product_type;fi;;;Apparel; 
PRODUCT;'15490115928413;title;fi;;;Classic Set-in Sleeve Sweatshirt - XL; 
PRODUCT;'15490115928413;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490115928413;handle;fi;;;j262m-size-xl; 
PRODUCT;'15490115928413;product_type;fi;;;Apparel; 
PRODUCT;'15490116551005;title;fi;;;Classic Set-in Sleeve Sweatshirt - XXL; 
PRODUCT;'15490116551005;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490116551005;handle;fi;;;j262m-size-xxl; 
PRODUCT;'15490116551005;product_type;fi;;;Apparel; 
PRODUCT;'15490116911453;title;fi;;;Classic Set-in Sleeve Sweatshirt - 3XL; 
PRODUCT;'15490116911453;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490116911453;handle;fi;;;j262m-size-3xl; 
PRODUCT;'15490116911453;product_type;fi;;;Apparel; 
PRODUCT;'15490117337437;title;fi;;;Classic Set-in Sleeve Sweatshirt - 4XL; 
PRODUCT;'15490117337437;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490117337437;handle;fi;;;j262m-size-4xl; 
PRODUCT;'15490117337437;product_type;fi;;;Apparel; 
PRODUCT;'15490117828957;title;fi;;;Classic Set-in Sleeve Sweatshirt - 5XL; 
PRODUCT;'15490117828957;body_html;fi;;;"• Material: 80% cotton, 20% polyesteri
PRODUCT;'15490117828957;handle;fi;;;j262m-size-5xl; 
PRODUCT;'15490117828957;product_type;fi;;;Apparel; 
PRODUCT;'15490173108573;title;fi;;;Ladies Authentic Hoodie; 
PRODUCT;'15490173108573;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490173108573;handle;fi;;;j265f; 
PRODUCT;'15490173108573;product_type;fi;;;Apparel; 
PRODUCT;'15490183332189;title;fi;;;Authentic Hoodie - XS; 
PRODUCT;'15490183332189;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490183332189;handle;fi;;;j265m-size-xs; 
PRODUCT;'15490183332189;product_type;fi;;;Apparel; 
PRODUCT;'15490183725405;title;fi;;;Authentic Hoodie - S; 
PRODUCT;'15490183725405;body_html;fi;;;"• Material: 80 % Combed ring spun cotton 20% Polyester (3 layer fabric)
PRODUCT;'15490183725405;handle;fi;;;j265m-size-s; 
PRODUCT;'15490183725405;product_type;fi;;;Apparel; 
PRODUCT;'15490184151389;title;fi;;;Authentic Hoodie - M; 
